iter	MultiClass
329	-0.008896352416
330	-0.008874473282
331	-0.008842804909
332	-0.00879429415
333	-0.008762018779
334	-0.008721879762
335	-0.008711125061
336	-0.008693214249
337	-0.008645646428
338	-0.008619334932
339	-0.008585612002
340	-0.00855620369
341	-0.008534121146
342	-0.008487375625
343	-0.008449259909
344	-0.008403397851
345	-0.008390116774
346	-0.008358330639
347	-0.008328390181
348	-0.008306297691
349	-0.008288952877
350	-0.008260943192
351	-0.008245474456
352	-0.008234606612
353	-0.008210092141
354	-0.008192350687
355	-0.008169595188
356	-0.008121039936
357	-0.008109390537
358	-0.008084230562
359	-0.008052458566
360	-0.008025375949
361	-0.007997566178
362	-0.007982507973
363	-0.007967682435
364	-0.007943002964
365	-0.007913549587
366	-0.007896871758
367	-0.007863649087
368	-0.007847683238
369	-0.007805812695
370	-0.007772705708
371	-0.007755672686
372	-0.007732704776
373	-0.007708319641
374	-0.007676652921
375	-0.007660666808
376	-0.007644291322
377	-0.007631350639
378	-0.007605504368
379	-0.007592373896
380	-0.007567487125
381	-0.007549011671
382	-0.007525731772
383	-0.007504051064
384	-0.007475615485
385	-0.007445924315
386	-0.007425296933
387	-0.007415867311
388	-0.007399794414
389	-0.007372124459
390	-0.007353876826
391	-0.007329812899
392	-0.007302053255
393	-0.007276132679
394	-0.007259647469
395	-0.007243440266
396	-0.007232909506
397	-0.007209864646
398	-0.007195067519
399	-0.007173087485
400	-0.007148051446
401	-0.007113347417
402	-0.007103855927
403	-0.007088484519
404	-0.007059179254
405	-0.00704076529
406	-0.007027675106
407	-0.007019152156
408	-0.007006475799
409	-0.006974141325
410	-0.00695706912
411	-0.006938698875
412	-0.006919129795
413	-0.006890105062
414	-0.00687311794
415	-0.006855571418
416	-0.006840289582
417	-0.006824984142
418	-0.006800468049
419	-0.006776589705
420	-0.006766533382
421	-0.006751159968
422	-0.006729623054
423	-0.006717565197
424	-0.006693496137
425	-0.006669134358
426	-0.006648140234
427	-0.006618512137
428	-0.006610103472
429	-0.006590425922
430	-0.006577640206
431	-0.006566444596
432	-0.006544246282
433	-0.006533178878
434	-0.006525180227
435	-0.006500759283
436	-0.006473855849
437	-0.00646073301
438	-0.006450016841
439	-0.006425913129
440	-0.006416452688
441	-0.006397913338
442	-0.006381630075
443	-0.006366108012
444	-0.006344857205
445	-0.006325791049
446	-0.006311532555
447	-0.006296213768
448	-0.006280836715
449	-0.006255799757
450	-0.006235754697
451	-0.00622042452
452	-0.006208388764
453	-0.006186364447
454	-0.006171402652
455	-0.006154003691
456	-0.006142752275
457	-0.006137370878
458	-0.006120628819
459	-0.006102615436
460	-0.006088271589
461	-0.006074717094
462	-0.006065964309
463	-0.006051829087
464	-0.006044274729
465	-0.006034195584
466	-0.006007494788
467	-0.00599650808
468	-0.005984591599
469	-0.005964724996
470	-0.005954630161
471	-0.00593961033
472	-0.005933280685
473	-0.005920872949
474	-0.005898687806
475	-0.005882854141
476	-0.005871301055
477	-0.005846543279
478	-0.00584063676
479	-0.005833503031
480	-0.005812231914
481	-0.005797087355
482	-0.005785725104
483	-0.005766307701
484	-0.005753223764
485	-0.005740877648
486	-0.005731014815
487	-0.005707175861
488	-0.005684984872
489	-0.005675375346
490	-0.005670296609
491	-0.005648529439
492	-0.005640959618
493	-0.005628770805
494	-0.00561298827
495	-0.005595510044
496	-0.005574253986
497	-0.005565960865
498	-0.005553740962
499	-0.005537177539
